DATE;Sweden;Stockholm county;Stockholm;Eastern Central Sweden;Småland with the islands;South Sweden;Malmö;West Sweden;Göteborg;Northern Central Sweden;Central Norrland;Upper Norrland
1975;59;53;53;60;63;61;58;62;62;56;57;60
1976;68;62;62;68;72;71;70;73;72;66;65;69
1977;79;71;71;79;83;81;80;84;83;75;78;78
1978;89;83;83;90;92;91;91;93;92;85;90;86
1979;98;94;94;97;100;101;101;101;101;93;101;94
1980;101;100;100;100;105;103;102;104;104;97;103;99
1981;100;100;100;100;100;100;100;100;100;100;100;100
1982;101;101;101;101;100;100;100;101;101;101;104;102
1983;101;103;103;101;99;100;100;102;104;101;104;102
1984;105;106;105;103;102;103;105;107;110;103;105;107
1985;109;111;111;107;104;107;109;114;116;106;107;110
1986;115;121;121;111;108;111;114;120;126;110;112;115
1987;130;147;148;125;118;124;129;135;148;120;123;125
1988;154;187;189;147;133;145;157;162;181;137;134;139
1989;181;222;224;170;151;176;195;192;217;158;151;161
1990;203;246;247;190;173;204;229;213;242;178;168;179
1991;217;254;254;204;190;228;258;226;253;190;180;193
1992;197;216;217;189;180;209;231;203;219;179;173;182
1993;175;183;184;167;168;185;197;179;189;165;154;164
1994;183;201;202;172;175;194;208;186;199;168;158;169
1995;184;204;206;171;176;196;210;187;200;167;152;166
1996;185;205;207;173;178;200;213;188;201;168;153;165
1997;198;230;233;182;185;214;230;202;220;171;156;170
1998;217;265;269;197;202;235;261;219;249;179;161;179
1999;237;303;308;212;214;262;302;238;274;186;168;188
2000;263;365;374;231;227;290;346;259;305;193;173;195
2001;284;402;411;248;242;314;374;278;328;203;178;205
2002;302;426;434;271;257;337;403;296;351;213;185;214
2003;322;436;443;292;275;368;445;327;394;225;194;219
2004;353;468;475;317;298;410;503;369;446;244;206;236
2005;387;502;509;344;324;458;569;418;505;264;219;255
2006;431;565;574;377;357;517;647;464;558;291;247;281
2007;477;647;657;409;387;570;716;508;607;320;267;300
2008;491;662;672;423;405;572;710;526;628;335;285;311
2009;501;666;676;437;420;585;718;535;636;350;292;318
2010;538;731;741;460;445;625;775;580;693;365;307;337
2011;542;741;752;461;441;619;771;588;709;367;310;345
2012;535;736;747;459;434;596;736;581;705;366;306;352
2013;554;767;778;477;448;608;748;604;737;374;317;370
2014;592;847;860;511;468;631;778;638;782;397;334;405
2015;656;965;979;568;505;673;849;703;875;433;370;461
2016;711;1050;1066;616;565;750;954;750;922;471;396;454
2017;770;1109;1125;668;620;820;1051;826;1022;515;427;491
2018;770;1051;1067;674;644;849;1084;833;1014;536;440;500
2019;791;1056;1072;699;657;888;1131;859;1045;556;444;509
2020;843;1122;1139;739;710;957;1223;913;1098;587;472;544
2021;985;1331;1351;872;807;1127;1452;1049;1271;681;551;626
